placeName as written	Kima_Id	URI	Primary_Latin	Primary_Hebrew
Dunayivtsi	TBA			
Russia	TBA			
Kodyma	TBA			
Kirkcaldy (Scotland)	TBA			
Khmelnitski	TBA			
Kozelets	TBA			
Guardiola de Berga, Spain	TBA			
Gross-Rauchenbach	TBA			
Continesti	TBA			
Russia	TBA			
Ryki, Z'elechow	TBA			
Sveksna	TBA			
Vaskiai	TBA			
Melnitsa	TBA			
Wladyslawow	TBA			
Sokiryany	TBA			
Kamionka	TBA			
Breslau (Germany)	TBA			
Kereszter	TBA			
Satu Mare (Satu Mare, Romania)	TBA			
Kuczbork	TBA			
Chelm	TBA			
Nyitra	TBA			
Lankada (Chios, Greece)	TBA			
Germany?	TBA			
Pruszka	TBA			
Oglesby (Ill.)	TBA			
Germany	TBA			
Cardenden (Scotland)	TBA			
Borisovka (Belgorodskai︠a︡ oblastʹ, Russia)	TBA			
Nowy Wiśnicz (Poland)	TBA			
Strawczyn	TBA			
Druisk	TBA			
Z'yz'mory	TBA			
Germany	TBA			
Vaxjo,	TBA			
Rezina (Moldova : Raionul)	TBA			
Z'osle	TBA			
Russia	TBA			
Dubrovyt︠s︡i︠a︡ (Ukraine)	TBA			
Stanislavchik	TBA			
Lyuban	TBA			
Triljesy	TBA			
Meknès (Morocco)	TBA			
Ersek-Kety	TBA			
Germany	TBA			
Okopy	TBA			
Poland?	TBA			
Mainz (Germany)	TBA			
Biĭsk (Russia)	TBA			
Secureni	TBA			
Tyachev	TBA			
Chişinău (Moldova)	TBA			
Minkovtsy	TBA			
Turiisk	TBA			
Verkhovka	TBA			
Schodnica	TBA			
Roseau (Dominica)	TBA			
Przysietnica	TBA			
Kozlova	TBA			
Didovshina	TBA			
Potok	TBA			
Nove Mesto, Vagujhely nad Vahom	TBA			
Vezhbolovo ,Virbalis	TBA			
Dnipropetrovsʹk (Ukraine)	TBA			
Borek	TBA			
Dunayev	TBA			
Nikolaevka-Novorosiiskoe, Bairamcha	TBA			
Debica	TBA			
Kuców (Piotrków Trybunalski, Poland)	TBA			
Warracknabeal (Vic.)	TBA			
Vadul Rascov	TBA			
Costesti (Romania)	TBA			
Beit Lehem, Judea	TBA			
Szczebrzezyn, Shebreshin	TBA			
Romankivt︠s︡i (Ukraine)	TBA			
Wiesenbronn	TBA			
Los Gatos (Calif.)	TBA			
Novo-Moskovsk	TBA			
Russia	TBA			
Novogrodok	TBA			
Masatepe (Nicaragua)	TBA			
Komarivka (Lʹvivsʹka Oblastʹ, Ukraine)	TBA			
Vinnytsa	TBA			
Brest	TBA			
Brest	TBA			
Wekschni	TBA			
Bolotnya	TBA			
Ruzhin	TBA			
Wongrowitz	TBA			
Golshany	TBA			
Jankovacz	TBA			
Brest	TBA			
Brest	TBA			
Koschewatoje	TBA			
Orlia	TBA			
Werba	TBA			
Korczyna	TBA			
Mahili︠o︡ŭ (Belarus)	TBA			
Vysoko - Litovsk	TBA			
Rowne, Rovno	TBA			
Sloboda	TBA			
Radomyshl	TBA			
Srem, Schrimm	TBA			
Nivki	TBA			
Byala	TBA			
Genichesk	TBA			
Molina	TBA			
Provence?	TBA			
Mikaliskis	TBA			
Nowy-Dwor	TBA			
Brackenhurst	TBA			
Germany	TBA			
Tarnów (Województwo Małopolskie, Poland)	TBA			
Rīga (Latvia)	TBA			
Ḥolon (Israel)	TBA			
Fès (Morocco)	TBA			
Petrovoszelo	TBA			
Russia	TBA			
Rīga (Latvia)	TBA			
Gvardeyskoye	TBA			
Russia	TBA			
Talca (Talca, Chile)	TBA			
Popczyce	TBA			
Novyy Dvor	TBA			
Nemchovo	TBA			
Ramat-Gan (Israel)	TBA			
Germany?	TBA			
Cania	TBA			
Mogilew	TBA			
Kraslav	TBA			
Lypky (Rivnensʹka oblastʹ, Ukraine)	TBA			
Dragomirești (Romania)	TBA			
Ianauti	TBA			
Liubonichi	TBA			
Germany	TBA			
Marrakech (Morocco)	TBA			
Russia	TBA			
Pori (Finland)	TBA			
Chelm	TBA			
Mainz (Germany)	TBA			
Zdunska-Wola	TBA			
Mantua?	TBA			
Theberton Hall, Suffolk	TBA			
Ramat-Gan (Israel)	TBA			
Germany	TBA			
Ludżmierz, Poland	TBA			
Lethbridge (Alta.)	TBA			
Watseka (Ill.)	TBA			
Nove Mesto	TBA			
Berkhnee	TBA			
Liubar	TBA			
Zelenopolye	TBA			
Saturaljaujhely	TBA			
France? Provence?	TBA			
Wtelno	TBA			
Raseiniani	TBA			
Nowy Salz	TBA			
Mosedis	TBA			
Lasztomer	TBA			
Mena	TBA			
Liakhovichi	TBA			
Lusk, Ireland	TBA			
Orange country	TBA			
Gorica ,Gorz, Gorizia	TBA			
Hollas	TBA			
Hollas	TBA			
Germany	TBA			
Rovno	TBA			
Massafiscaglia	TBA			
Waldenburg (Switzerland)	TBA			
Mogielnica	TBA			
Staraya Sol	TBA			
Smolevichi	TBA			
Paris?	TBA			
Bieltsy	TBA			
Gaur (India)	TBA			
Orinin	TBA			
Brest	TBA			
Safi (Morocco)	TBA			
Kowel	TBA			
Fès (Morocco)	TBA			
Papa	TBA			
Glogow Dolny	TBA			
Russia	TBA			
Galicia (east)	TBA			
Vysoko-Litovsk	TBA			
Rawa Mazowiecki	TBA			
Shershevo	TBA			
Presque Isle (Me.)	TBA			
Sammatti (Finland)	TBA			
Russia?	TBA			
Симферополь	TBA			
Cherson	TBA			
Czerwin	TBA			
Monastyrysʹka (Ukraine)	TBA			
Freike	TBA			
Zolotoy Potok	TBA			
Gennigar, Israel	TBA			
Russia	TBA			
Russia	TBA			
Rivne	TBA			
Peski (Hrodzenskai︠a︡ voblastsʹ, Belarus)	TBA			
Malaysia‏	TBA			
Viersen (Germany)' '	TBA			
Zielun	TBA			
Piskorowice	TBA			
Bridgenorth (Ont.)	TBA			
Michalovce, Nagy-Mihaly	TBA			
Mainz (Germany)	TBA			
Germany	TBA			
Satu Mare (Satu Mare, Romania)	TBA			
Kvikne (Norway)	TBA			
Nyasvizh	TBA			
Koenigsburg	TBA			
Jaffa (Tel Aviv, Israel)	TBA			
Dzerzhinsk	TBA			
Yaḳum (Israel)	TBA			
Cleckheaton (England)	TBA			
Agadir (Morocco)	TBA			
Chelm	TBA			
Fès (Morocco)	TBA			
Sadgura	TBA			
Tétouan (Morocco)	TBA			
Debica	TBA			
Sukhovolia	TBA			
Novograd, Ukraine	TBA			
Peczeniz'yn	TBA			
Izluchistaia	TBA			
Strachan (Scotland)	TBA			
Biržai (Lithuania)	TBA			
Malki	TBA			
Lakeland (Fla.)	TBA			
Nikolayev	TBA			
Russia	TBA			
Sveksna	TBA			
Greenville (N.C.)	TBA			
Mioseu	TBA			
Korczyna	TBA			
Fürth (Bavaria, Germany)	TBA			
Pikeliae	TBA			
Szkudy	TBA			
Tunica, Miss. : Town	TBA			
Rosenberg	TBA			
Merecz	TBA			
Dubossari	TBA			
Listvin	TBA			
Germany	TBA			
Chelm	TBA			
romylʹ (Ukraine)	TBA			
Kempen	TBA			
Chŏlla-bukto (Korea)	TBA			
Russia	TBA			
Ulanow	TBA			
Homyel	TBA			
Slovechne (Ukraine)	TBA			
Chodel	TBA			
Mishmar ha-ʻEmeḳ (Israel)	TBA			
Papa	TBA			
Ghlin (Belgium)	TBA			
Grójec (Radom, Poland)	TBA			
Caravaca (Spain)	TBA			
Cwmbran (Wales)	TBA			
Mount Prospect (Ill.)	TBA			
Tarnów (Województwo Małopolskie, Poland)	TBA			
Senitchenitz	TBA			
Kempen	TBA			
Bojan	TBA			
Girtokol	TBA			
Russia	TBA			
Meknès (Morocco)	TBA			
Raḥmistriṿḳa, Ukraine	TBA			
Manastirea	TBA			
Pilz	TBA			
Felsztyn	TBA			
Kopyczynce	TBA			
Parzeczew	TBA			
Glascow	TBA			
Junín (Argentina)'	TBA			
Elḳanah	TBA			
Uerdingen (Amt)	TBA			
Russia	TBA			
Rīga (Latvia)	TBA			
Žemaičių Naumiestis (Lithuania)	TBA			
Scherzingen (Switzerland)	TBA			
Velyun	TBA			
Durham (N.H.)	TBA			
Russia	TBA			
Russia	TBA			
Kefar Yonah (Israel)	TBA			
Beja (Portugal)	TBA			
Glagow Dolny	TBA			
Guling (China)	TBA			
Dolgii	TBA			
Ecrennes	TBA			
Nagy Tapolcsany	TBA			
Taʻizz (Yemen)	TBA			
ʻEn Gev (Israel)	TBA			
Donaueschingen (Germany)	TBA			
Волынская губерния Российской империи (ныне Украина).	TBA			
N.Y.	TBA			
Žagarė (Lithuania)	TBA			
Enid (Okla.)	TBA			
Nagykanisza	TBA			
Kennington (London, England)	TBA			
Kent	TBA			
Haverford (Pa.)	TBA			
Dulwich (London, England)	TBA			
Huntington (W. Va.)	TBA			
Shakhovskoe	TBA			
Jasper	TBA			
Jerez de los Caballeros (Spain)	TBA			
Casterton	TBA			
Southern Cross (Mont.)	TBA			
Linden, Germany	TBA			
Čáslav (Středočeský kraj, Czech Republic)	TBA			
Charente inferieure	TBA			
Nykoebing	TBA			
Hämeenkyrö (Finland)	TBA			
Germany	TBA			
Germany	TBA			
Oak Park	TBA			
Rohtek Punjab	TBA			
Sacred Heart, Okla.	TBA			
Novyy Konstantinov	TBA			
Hoxton (London, England)	TBA			
Rapollo	TBA			
Saint-Sauveur-le-Vicomte (France)	TBA			
Hampshire	TBA			
Kabete (Kenya)	TBA			
Sisson (Calif.)	TBA			
Glens Falls (N.Y.)	TBA			
Lancaster	TBA			
White Plains Georgia	TBA			
Donna (Tex.)	TBA			
Petrovskoya	TBA			
Essex	TBA			
Ziguinchor (Senegal)	TBA			
Eiker	TBA			
Ballyroney	TBA			
Washington	TBA			
Narovcat	TBA			
Nizhniĭ Novgorod, Russia	TBA			
Bukov	TBA			
Russia	TBA			
Charing Cross (London, England)	TBA			
Ashton-upon-Mersey	TBA			
Pleasantville	TBA			
Mogliano Veneto (Italy)	TBA			
Blantyre (Scotland)	TBA			
Niles (Mich.)	TBA			
White Hills (Mohave County, Ariz.: Town)	TBA			
Strassburg (Germany)	TBA			
Olivia	TBA			
Berwick (Me.)	TBA			
Hartselle (Ala.)	TBA			
Fond du Lac, Wisconsin	TBA			
Kassel	TBA			
East Dereham (England)	TBA			
Allegheny	TBA			
Catskill (N.Y.)	TBA			
Saint Davids (Pa.)	TBA			
Thueringen	TBA			
Delran (N.J. : Township)	TBA			
Forfar (Scotland)	TBA			
Millville, Ind.	TBA			
Dunbar	TBA			
Nuoro (Italy)	TBA			
Chicopee Falls	TBA			
Washington	TBA			
Murree (Pakistan)	TBA			
Lonovtsy	TBA			
Hemite (Turkey)	TBA			
Malvern	TBA			
Santiago de Chuco (Peru)	TBA			
Sartimbamba (Peru)	TBA			
Manville, Alta.	TBA			
Waukegan (Ill.)	TBA			
Xiangtan (Hunan Sheng, China)	TBA			
Xiamen Shi (China)	TBA			
Ashville	TBA			
Mitcham (London, England)	TBA			
New Alexandria	TBA			
Macon (Miss.)	TBA			
Vyenshenskaya	TBA			
Russia	TBA			
St. Marys County	TBA			
Russia	TBA			
Menston (West Yorkshire)	TBA			
Pascani	TBA			
Grenfell	TBA			
Colleretto-Parella	TBA			
Bolshoye Bikovo	TBA			
Great Barrington (Mass.)	TBA			
Matzicken (Germany)	TBA			
Fusṭāṭ (Cairo, Egypt)	TBA			
Washington	TBA			
Hodonin, Goding	TBA			
Priiataia Dolina	TBA			
Creuzburg, Germany	TBA			
Chittenango (N.Y.)	TBA			
Stolp (Germany)	TBA			
Hildesheim (Germany)	TBA			
Janov	TBA			
Mishenskoe	TBA			
Okunev	TBA			
N.Y.	TBA			
Rangoon (Burma)	TBA			
Popowo, Poland	TBA			
Petromar'evskii Rudnik	TBA			
Sag Harbor (N.Y.)	TBA			
Uvarowichi	TBA			
Russia	TBA			
Stavanger (Norway)	TBA			
Marabastad, Pretoria, South Africa	TBA			
Torquay	TBA			
Dmytrow	TBA			
Germany	TBA			
Meckesheim	TBA			
Komarin	TBA			
Manningford Bruce	TBA			
Łódź (Poland)	TBA			
Zloszew	TBA			
Coyoacán (Mexico)	TBA			
Guingamp (France)	TBA			
Fort Payne (Ala.)	TBA			
Siekierzynce	TBA			
Netanyah (Israel)	TBA			
Kotel (Bulgaria)	TBA			
Krosno (Krosno, Poland)	TBA			
Denholm (Scottish Borders, Scotland)	TBA			
Adserballe	TBA			
Noyelles-Godault (France)	TBA			
Russia	TBA			
Abeliai, Abeli	TBA			
Southend	TBA			
Farso	TBA			
Chalons-Sur-Marne	TBA			
Seredzius	TBA			
Dovsk (Belarus)	TBA			
Freshwater (England)	TBA			
Russia	TBA			
Germany	TBA			
Saint John's (Antigua and Barbuda)	TBA			
Magnuszew (Poland)	TBA			
Jasinowka	TBA			
Pereyaslav Khmelnitskiy	TBA			
Orleans	TBA			
Germany	TBA			
Wandsworth (London, England)	TBA			
Halifax?	TBA			
Landau an der Isar (Germany)	TBA			
Łódź (Poland)	TBA			
Bandon	TBA			
Veľká Lomnica (Slovakia)	TBA			
Goszkowice	TBA			
Yorkshire	TBA			
Springfield	TBA			
Java (Indonesia)	TBA			
White Plains	TBA			
Novo-Uzensk	TBA			
Mainz (Germany)	TBA			
Chervyen	TBA			
Carbondale	TBA			
Mamadishi	TBA			
Meknès (Morocco)	TBA			
Ljubonici	TBA			
Macon, Ga.	TBA			
Halifax	TBA			
Eyisk	TBA			
Achenkirch (Austria)	TBA			
Herrsstadt	TBA			
Yampol	TBA			
Loughall	TBA			
Schnepfenthal	TBA			
Skrypchintsy	TBA			
St. Vith	TBA			
Vilna?	TBA			
Mscibow	TBA			
Altmark Gardelegen	TBA			
Medias (Romania)	TBA			
Orange River Colony	TBA			
Aleksandrovskoe	TBA			
Bilzen (Belgium)	TBA			
Holstein	TBA			
Hampton Wick, Richmond upon Thames, London, England	TBA			
Kirchberg (Germany)	TBA			
Butler	TBA			
Rugby	TBA			
Zeblin	TBA			
Hainewalde (Germany)	TBA			
Meknès (Morocco)	TBA			
Polotnianye Zavody	TBA			
Padaung (Burma)	TBA			
Russia	TBA			
Dammartin-en-Serve	TBA			
Szczecin, Stettin	TBA			
Moselle, St. Avold	TBA			
Veiseiai	TBA			
Rury Jezuickie	TBA			
Lianckorun	TBA			
Zawalski Chutor	TBA			
Monastir	TBA			
Obeliai	TBA			
Whatley	TBA			
Marmaros	TBA			
Karnozia	TBA			
Reinersdorf	TBA			
Lizunovo	TBA			
Kupiansk	TBA			
Rabat (Morocco)	TBA			
Liakhovichi	TBA			
Grodno Hrodna	TBA			
Oskarshamn (Sweden)	TBA			
Augustow (Poland)	TBA			
Jabalpur (India : District)	TBA			
Bromberg	TBA			
Kraków (Poland)	TBA			
Neufchatel	TBA			
Château de Fontainebleau, Fontainebleau, France	TBA			
Orkedalsoeren	TBA			
Skapiskis	TBA			
Rovigo (Italy)	TBA			
Castro Daire	TBA			
Germany	TBA			
Zolotoy Potok	TBA			
Koniuszki	TBA			
Philippova	TBA			
Precy-Sous-Thil	TBA			
Germany	TBA			
Z︠H︡ytomyr, Ukraine	TBA			
Czudnow	TBA			
Holynka	TBA			
Kelso	TBA			
Baden	TBA			
Malki	TBA			
Michalishky	TBA			
Marculesti	TBA			
Orte (Italy)	TBA			
Romanovka	TBA			
Podmerets	TBA			
Grodno, Poland	TBA			
Solobkovtsi	TBA			
Vilna (Poland)	TBA			
Pereyaslav-Khmelnitski	TBA			
Lisle, Lille	TBA			
Iuzovka	TBA			
Neugrape	TBA			
Russia	TBA			
Sudice	TBA			
Przedecz	TBA			
Lautenbourg	TBA			
Tarnów (Województwo Małopolskie, Poland)	TBA			
Chadron	TBA			
Stuehlingen	TBA			
Barlaston (England)	TBA			
Zakharino	TBA			
Chorzele	TBA			
München-Gladbach (Germany)	TBA			
Italy?	TBA			
Dumbrėvenʹ (Moldova)	TBA			
Germany	TBA			
Bischofswerda (Germany)	TBA			
Zhvanets	TBA			
Salantai	TBA			
Litin	TBA			
Papa	TBA			
Rensselaer	TBA			
Wurzen (Germany)	TBA			
Raʻananah (Israel)	TBA			
Boetzlingen	TBA			
Prochorowka	TBA			
Stowbtsi	TBA			
Kenderes (Hungary)	TBA			
Daschitz	TBA			
Czernelica	TBA			
Durham, Stanhope	TBA			
Balaganskiĭ raĭon (Russia)	TBA			
Germany	TBA			
Swita	TBA			
Dukora	TBA			
Silesia	TBA			
Brunn am Gebirge (Austria)	TBA			
Germany	TBA			
Halle	TBA			
Mantua?	TBA			
Annaberg-Buchholz (Germany)	TBA			
Laudenbach, Germany	TBA			
Somerville	TBA			
Kinneret	TBA			
Korostyshev	TBA			
Sernichki	TBA			
Tarnów (Województwo Małopolskie, Poland)	TBA			
Szczuczyn (Poland)	TBA			
Poieni sub Munte	TBA			
Russia	TBA			
Kamenki	TBA			
Pomoryany	TBA			
Bobr	TBA			
Livani	TBA			
Konvaliskis	TBA			
Chişinău (Moldova)	TBA			
Plymouth	TBA			
Carthage	TBA			
Emek Yizre'el (Israel)	TBA			
Balin	TBA			
Lyubar	TBA			
Lintsy, Ilintsy	TBA			
En Ganim (Petah Tikva, Israel)	TBA			
Vlodarsk	TBA			
Kenadsa (Algeria)	TBA			
Kumrovec (Croatia)	TBA			
Eastwood	TBA			
Skala	TBA			
Ulanov	TBA			
Mainz (Germany)	TBA			
Nevarenai	TBA			
New York, Le Roy	TBA			
Rīga (Latvia)	TBA			
Eiragola	TBA			
Domrémy-la-Pucelle (France)	TBA			
Karlsruhe	TBA			
Seredniki	TBA			
Szaboles, Kisvarda	TBA			
Volochisk	TBA			
Rīga (Latvia)	TBA			
Russia	TBA			
Tegucigalpa, Francisco Morazán, Honduras	TBA			
Wladyslawow	TBA			
Rīga (Latvia)	TBA			
Germany	TBA			
Rabat (Morocco)	TBA			
Safi (Morocco)	TBA			
Lubsko, Poland	TBA			
Cedar City (Utah)	TBA			
Gurszkowice	TBA			
Ansley (Neb.)	TBA			
Kozlow	TBA			
Razaliams	TBA			
Germany	TBA			
Biella or Nasielsk	TBA			
Bobownia	TBA			
Orlia	TBA			
Mount Holly (N.J.)	TBA			
Grabowce	TBA			
Seredžius, Lithuania	TBA			
Torun ,Thorn	TBA			
Tremadoc	TBA			
Zboro	TBA			
Ruzhin	TBA			
Tarnów (Województwo Małopolskie, Poland)	TBA			
Grabowce	TBA			
West Point (N.Y.)	TBA			
Zid'ki	TBA			
Trostyanets	TBA			
Kunya	TBA			
Minsk, Medwiedischki	TBA			
Shagory	TBA			
Miroslavas	TBA			
Mahili︠o︡ŭ (Belarus)	TBA			
Haĭsyn (Ukraine)	TBA			
Iassenowka	TBA			
Freiburg (Germany)	TBA			
Rīga (Latvia)	TBA			
Rabat (Morocco)	TBA			
Skidel	TBA			
Aracataca (Colombia)	TBA			
Russia	TBA			
Starabin	TBA			
Zelov, Poland	TBA			
Lapichi	TBA			
Kaliv, Hungary	TBA			
Michalovce	TBA			
Patchep	TBA			
Hashmona'im (West Bank)	TBA			
Taʻizz (Yemen)	TBA			
Germany	TBA			
Zhlobin, Russia	TBA			
Russia	TBA			
Cabras (Italy)	TBA			
Sarnowicze	TBA			
En Ganim (Petah Tikva, Israel)	TBA			
Shadov	TBA			
Zhlobin	TBA			
Kobylecka Poljana	TBA			
Lunna	TBA			
Savonia	TBA			
Ţirat Karmel (Israel)	TBA			
Kuĭbyshev (Kuĭbyshevskai︠a︡ oblastʹ, R.S.F.S.R.)	TBA			
Gniezno ,Gnesen	TBA			
Lithuania?	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Nagy-Varad ,Oradea Mare	TBA			
Skoudas	TBA			
Washington Court House (Ohio)	TBA			
Vimmbery	TBA			
Wilkomierz	TBA			
Dawḥah (Qatar)	TBA			
Serednee	TBA			
Geislautern	TBA			
Bet-ha-ʻAravah	TBA			
Germany	TBA			
Spitschinzy	TBA			
Kholopenichi	TBA			
Ryki (Warsaw, Poland)	TBA			
Deganyah Alef (Israel)	TBA			
Tampico (Ill.)	TBA			
Wasylkowce	TBA			
Jerusalem?	TBA			
Marculesti	TBA			
Nowogorod Sjewersk	TBA			
Washington, USA	TBA			
Dolinskoye	TBA			
Ivankov	TBA			
Prague?	TBA			
Skidel	TBA			
Nadas	TBA			
Tarnów (Województwo Małopolskie, Poland)	TBA			
Rēzekne (Latvia)	TBA			
Chorzele	TBA			
Mumpf, Canton Aargau, Switzerland	TBA			
Brest	TBA			
Pirangi	TBA			
Dondosanu	TBA			
Skarszewo or Skarszew	TBA			
Skarszewo or Skarszew	TBA			
Grzymalow	TBA			
Bene Beraḳ (Israel)	TBA			
Teetzleben	TBA			
Yarychev	TBA			
Kromeriz, Kremsier	TBA			
Rymanów (Poland)	TBA			
Kovel	TBA			
Liège (Belgium)	TBA			
Hope (Ark.)	TBA			
Rīga (Latvia)	TBA			
Germany	TBA			
Mályinka (Hungary)	TBA			
Louny (Czechoslovakia)	TBA			
San-Daniele	TBA			
Scala, Poland	TBA			
Pizern	TBA			
STREATOR	TBA			
Germany	TBA			
Germany	TBA			
Luck	TBA			
Petrovo Selo	TBA			
Baghdad?	TBA			
Tarnów (Województwo Małopolskie, Poland)	TBA			
Liudvipol'	TBA			
Karlin Pinsk	TBA			
Gorzkowic, Poland	TBA			
Glogau	TBA			
London, England	TBA			
Leovo	TBA			
Druzhkopol	TBA			
former Soviet Union	TBA			
Russia	TBA			
Surochow	TBA			
Yampol	TBA			
Rybnitsy	TBA			
Novo Ukraina	TBA			
Ramat-Gan, Israel	TBA			
Galicia, Poland?	TBA			
Russia	TBA			
Ḳiryat Gat (Israel)	TBA			
I︠U︡rʹevet︠s︡, Ivanovskai︠a︡ oblastʹ, Russia	TBA			
Miedzyrzec ,Mezhireche'e	TBA			
Brest	TBA			
Bădăcin	TBA			
Kovel	TBA			
Horoshen	TBA			
Trietch	TBA			
Galicia, Poland?	TBA			
Gross-voigtsberg	TBA			
Rodzol	TBA			
Vordingborgs	TBA			
Oleszliska	TBA			
Galick	TBA			
Dzialoszyn	TBA			
Uglya	TBA			
Kalenkovici	TBA			
Germany	TBA			
Germany	TBA			
Stavishche	TBA			
Beisagola	TBA			
Janow	TBA			
Qatara (Lebanon)	TBA			
Gleidingen	TBA			
Babiak	TBA			
Ianov	TBA			
Antakalnis	TBA			
Oserjany	TBA			
Chalamera de Cinca (Spain)	TBA			
Homonna	TBA			
Rohonc	TBA			
Sadgura	TBA			
Nowawies	TBA			
Nyitra	TBA			
Novo Vitebsk	TBA			
Pepin County (Wis.)	TBA			
Homyel	TBA			
Papa	TBA			
Stare Miasto	TBA			
Polonka	TBA			
Plumenau	TBA			
Stare Zagory	TBA			
Łaskarzew (Poland)	TBA			
Wiz'ajny	TBA			
Belopolie	TBA			
Dashev	TBA			
Mohilev Slavgorod	TBA			
Hanley	TBA			
Teignmouth (England)	TBA			
Widsy	TBA			
Csurgó (Somogy Megye, Hungary)	TBA			
Gadyach	TBA			
Kalaszyce	TBA			
Chelm	TBA			
Li︠u︡banʹ (Tosnenskiĭ raĭon, Russia)	TBA			
Germany	TBA			
Maltsh	TBA			
Meknès (Morocco)	TBA			
Fès (Morocco)	TBA			
Beresowo	TBA			
Germany	TBA			
Tulcin	TBA			
Tytuvenai	TBA			
Pochembautsy	TBA			
Werejki	TBA			
Snipiszki	TBA			
Russia	TBA			
Shchedrin	TBA			
Glubochek	TBA			
Yahilnytsya	TBA			
Tønder (Denmark)	TBA			
Russia	TBA			
Russia	TBA			
Alexandria	TBA			
Grangemouth (Scotland)	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Przemyśl (Poland)	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Sandusky (Ohio)	TBA			
Geraardsbergen (Belgium)	TBA			
Cibu	TBA			
Stary Bykhov	TBA			
Przemyslany	TBA			
Russia	TBA			
Agadir (Morocco)	TBA			
Washington, USA	TBA			
Michajlowo	TBA			
Meresheni	TBA			
Ruzhin	TBA			
Ruzhin	TBA			
Lyubor	TBA			
Usadʹba Mikhaĭlovka (Russia)	TBA			
Givat Hashlosha, Israel	TBA			
Hungary?	TBA			
Lutsk	TBA			
Obodovka	TBA			
Lyelchytsy	TBA			
Dokshytsy (Belarus)	TBA			
Mauravia	TBA			
Pereiaslavl	TBA			
Kulikov	TBA			
Germany	TBA			
Grodzisk	TBA			
Poland?	TBA			
Strekov (Západoslovenský kraj, Czechoslovakia)	TBA			
Meknès (Morocco)	TBA			
Lespedi	TBA			
Zhizhmory	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
øéñ÷, Lithuania	TBA			
South Africa (?)	TBA			
Long Island, U.S.A.	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
ö'øìå (?), Greece	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Xiamen Shi (China)	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Mainz (Germany)	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Kaman, Turkey	TBA			
Bloomfield (Iowa)	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Fès (Morocco)	TBA			
Mildjingi, Northern Arnham Land, Australia	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Washington, USA	TBA			
Satu Mare (Satu Mare, Romania)	TBA			
Russia	TBA			
Russia	TBA			
Cuba	TBA			
Russia	TBA			
Germany	TBA			
Rabat (Morocco)	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Daliyat al-Karmil (Israel)	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Russia	TBA			
Galicia, Poland/Ukraine	TBA			
Germany	TBA			
Russia	TBA			
Taino, Puerto Rico	TBA			
Germany	TBA			
Germany	TBA			
Ostrowicz, Poland	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Russia	TBA			
Hebron, Land of Israel	TBA			
Rīga (Latvia)	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Proskorov, Russia	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Gaʻash (Israel)	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Russia	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Rīga (Latvia)	TBA			
Fès (Morocco)	TBA			
Galicia, Poland	TBA			
Germany	TBA			
Russia	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Dnipropetrovsʹk (Ukraine)	TBA			
Russia	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Gissen, Germany	TBA			
Russia	TBA			
Germany	TBA			
Germany	TBA			
Russia	TBA			
Marrakech (Morocco)	TBA			
Germany	TBA			
Agadir (Morocco)	TBA			
Germany	TBA			
Germany	TBA			
